Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link,ID
Breakout,,"Seventeen-year-old Audelia Thigpen decides to drive away from her Los Angeles foster home, but gets stuck in a traffic jam, which gives her time to reflect on her own and others' lives.",https://cdn.vocabulary.com/units/7cnesl7r/cover.png?width=220&v=1899da448ee,https://www.amazon.com/dp/0689871899?tag=vocabulary01-20,Paul Fleischman,Literature,/lists/7cnesl7r/breakout,278
By the Great Horn Spoon!,,"During the Gold Rush, twelve-year-old Jack journeys to California in hopes of striking it rich.",https://cdn.vocabulary.com/units/7d34ll2z/cover.jpg?width=220&v=177074511bc,https://www.amazon.com/dp/0316286125?tag=vocabulary01-20,Sid Fleischman,Grade 5,/lists/7d34ll2z/by-the-great-horn-spoon,279
"Carry On, Mr. Bowditch",,"This novel is a fictionalized biography of Nathaniel Bowditch, a mathematical genius who begins work as an indentured servant on a ship before becoming a captain and celebrated navigator.",https://cdn.vocabulary.com/units/7e6dhalb/cover.jpeg?width=220&v=1803ceb8d8e,https://www.amazon.com/dp/0618250743?tag=vocabulary01-20,Jean Lee Latham,"Grade 6,Grade 7,Grade 8,Literature",/lists/7e6dhalb/carry-on-mr-bowditch,280
Americanah,,"This novel tells the story of Ifemelu and Obinze, Nigerians who immigrate to the United States and London, respectively, and eventually reunite in their homeland.",https://cdn.vocabulary.com/units/7el2obqu/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/0307455920?tag=vocabulary01-20,Chimamanda Ngozi Adichie,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7el2obqu/americanah,281
You're Not Supposed to Die Tonight,,"At an upstate New York terror-simulation experience based on events from the slasher film The Curse of Camp Mirror Lake, seventeen-year-old Charity is supposed to be the final girl who survives.",https://cdn.vocabulary.com/units/7f6ppzco/cover.png?width=220&v=18d8982b0da,https://www.amazon.com/dp/1547611545?tag=vocabulary01-20,Kalynn Bayron,Literature,/lists/7f6ppzco/youre-not-supposed-to-die-tonight,282
Words to Describe Art and Literature,,"Looking for the perfect word to describe a blockbuster movie, a favorite novel, or a museum's latest exhibit? This collection of artsy adjectives will help you paint pictures with words!",https://cdn.vocabulary.com/units/7fsl7oc6/feature.png?width=500&v=17b7e386e7e,,,Just for Fun,/lists/7fsl7oc6/words-to-describe-art-and-literature,283
Rules,,"To help her younger brother make sense of life in Maine (and avoid embarrassment), twelve-year-old Catherine writes down a list of rules.",https://cdn.vocabulary.com/units/7huzzjxv/cover.jpeg?width=220&v=188defa7620,https://www.amazon.com/dp/0439443830?tag=vocabulary01-20,Cynthia Lord,"Grade 5,Literature",/lists/7huzzjxv/rules,284
Beowulf,,Nobel Prize-winning poet Seamus Heaney translates the Old English epic poem about a warrior's battles with a series of monsters.,https://cdn.vocabulary.com/units/7imftoaa/cover.jpeg?width=220&v=16e651841da,https://www.amazon.com/dp/0393320979?tag=vocabulary01-20,Seamus Heaney,"Grade 12,Literature",/lists/7imftoaa/beowulf,285
Dress Coded,,"Eighth-grader Molly is fed up with her school's unfair dress code policy, so she starts a podcast to protest it, sparking a rebellion.",https://cdn.vocabulary.com/units/7imqvuqd/cover.jpeg?width=220&v=183a4037a5a,https://www.amazon.com/dp/1984816438?tag=vocabulary01-20,Carrie Firestone,Literature,/lists/7imqvuqd/dress-coded,286
One Half from the East,,"The youngest of four daughters, ten-year-old Obayda must pretend to be a boy to help her family in Afghanistan.",https://cdn.vocabulary.com/units/7ipf2nej/cover.png?width=220&v=1890d587f6c,https://www.amazon.com/dp/0062421913?tag=vocabulary01-20,Nadia Hashimi,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7ipf2nej/one-half-from-the-east,287
Candide,,"In this satirical French novella, a wide-eyed optimist gradually becomes disillusioned. Learn these words from the Modern Library translation. Read the full text here.",https://cdn.vocabulary.com/units/7isccfd2/cover.jpeg?width=220&v=16e85a01a3d,https://www.amazon.com/dp/0812972015?tag=vocabulary01-20,Voltaire,"Grade 9,Grade 10",/lists/7isccfd2/candide,288
Purple Hibiscus,,"Kambili and Jaja's life among the elite in Nigeria isn't so easy under the thumb of their oppressive father. When the country becomes mired in political turmoil, they are sent to stay with their aunt, where they learn a different way of life.",https://cdn.vocabulary.com/units/7iw4n4kz/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/B00B78AIV0?tag=vocabulary01-20,Chimamanda Ngozi Adichie,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7iw4n4kz/purple-hibiscus,289
The Chosen,,"In the 1940s, two Jewish teenagers from different backgrounds develop a deep friendship as they pursue their ambitions.",https://cdn.vocabulary.com/units/7kazeps7/cover.jpeg?width=220&v=16c2ff786db,https://www.amazon.com/dp/0449213447?tag=vocabulary01-20,Chaim Potok,Literature,/lists/7kazeps7/chosen,290
Sugar,,"Ten-year-old Sugar endures grueling work on a sugar plantation, but her friendships with the plantation owner's son and new Chinese laborers offer her hope and community.",https://cdn.vocabulary.com/units/7lmoh4cx/cover.jpeg?width=220&v=17010da05d8,https://www.amazon.com/dp/0316043060?tag=vocabulary01-20,Jewell Parker Rhodes,"Grade 5,Grade 6,Grade 7,Grade 8,Literature",/lists/7lmoh4cx/sugar,291
Founding Brothers,The Revolutionary Generation,"This nonfiction account explores the lives and ideas of six ""Founding Fathers"" of the United States: George Washington, Alexander Hamilton, Thomas Jefferson, Benjamin Franklin, John Adams, and James Madison.",https://cdn.vocabulary.com/units/7ma5mfw6/cover.jpeg?width=220&v=1761f1fac97,https://www.amazon.com/dp/0375705244?tag=vocabulary01-20,Joseph J. Ellis,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/7ma5mfw6/founding-brothers,292
Dicey's Song,"The Tillerman Cycle, Book 2",Dicey and her siblings adjust to life on their grandmother's farm.,https://cdn.vocabulary.com/units/7mabkkue/cover.jpeg?width=220&v=17abf36ef99,https://www.amazon.com/dp/1442428791?tag=vocabulary01-20,Cynthia Voigt,Literature,/lists/7mabkkue/diceys-song,293
Foreign Words and Phrases Used in English,,"You've got carte blanche to learn these foreign words and phrases that commonly appear in English speech and writing. Whether you want to add gravitas to your writing or simply to avoid making a faux pas, mastering these words will help you become a bona fide vocabulary star!",https://cdn.vocabulary.com/units/7mdntuqn/feature.png?width=500&v=179d7a7d371,,,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Roots & Affixes",/lists/7mdntuqn/foreign-words-and-phrases-commonly-used-by-english-speakers,294
Watched,,"After a minor run-in with the police, eighteen-year-old Naeem is offered a terrible choice: go to court or spy on members of his community.",https://cdn.vocabulary.com/units/7mwkrof4/cover.jpeg?width=220&v=16d1d0543e6,https://www.amazon.com/dp/0553534211?tag=vocabulary01-20,Marina Budhos,Literature,/lists/7mwkrof4/watched,295
Fallen Angels,,"After finishing high school, aspiring writer Richard Perry does not have the money for college, so he decides to enlist in the army and ends up fighting for his life in Vietnam.",https://cdn.vocabulary.com/units/7nyspiyy/cover.jpeg?width=220&v=189d69205ab,https://www.amazon.com/dp/0545055768?tag=vocabulary01-20,Walter Dean Myers,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7nyspiyy/fallen-angels,296
The Remains of the Day,,This novel by Nobel laureate Kazuo Ishiguro explores the interior life of a traditional English butler.,https://cdn.vocabulary.com/units/7o2tflqb/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/0679731725?tag=vocabulary01-20,Kazuo Ishiguro,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7o2tflqb/remains-of-the-day,297
A Place to Belong,,"Like many Japanese-Americans, Hanako and her family are imprisoned in an American internment camp during World War II. After the war ends, they emigrate to Japan — but they struggle to make a home in a country that is unfamiliar to them.",https://cdn.vocabulary.com/units/7o7p5vkt/cover.jpeg?width=220&v=16da6ae709d,https://www.amazon.com/dp/1481446649?tag=vocabulary01-20,Cynthia Kadohata,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7o7p5vkt/place-to-belong,298
If You Come Softly,,"Two teenagers, both of whom feel like outsiders at their prep school, form a close bond.",https://cdn.vocabulary.com/units/7oj3dt3p/cover.jpeg?width=220&v=17c318a5706,https://www.amazon.com/dp/0142415227?tag=vocabulary01-20,Jacqueline Woodson,Literature,/lists/7oj3dt3p/if-you-come-softly,299
Zachary Ying and the Dragon Emperor,,"Possessed by the two-thousand-year-old spirit of the First Emperor Ying Zheng, twelve-year-old Zack must travel from Maine to China to save both his mom and the mortal realm.",https://cdn.vocabulary.com/units/7olar46b/cover.png?width=220&v=18dd2406553,https://www.amazon.com/dp/1665900717?tag=vocabulary01-20,Xiran Jay Zhao,Literature,/lists/7olar46b/zachary-ying-and-the-dragon-emperor,300
"Nine, Ten",A September 11 Story,"This novel traces the lives of four middle schoolers before, during, and after September 11, 2001.",https://cdn.vocabulary.com/units/7om2rkcf/cover.jpeg?width=220&v=16c256944c0,https://www.amazon.com/dp/1442485078?tag=vocabulary01-20,Nora Raleigh Baskin,Literature,/lists/7om2rkcf/nine-ten,301
The House of the Scorpion,,"This award-winning dystopian novel tells the story of Matt Alacrán, clone and captive of a powerful feudal lord. Follow Matt as he tries to escape the sinister forces at work in the country of Opium.",https://cdn.vocabulary.com/units/7p3xx6xs/cover.jpeg?width=220&v=188def7928e,https://www.amazon.com/dp/0689852231?tag=vocabulary01-20,Nancy Farmer,"Grade 9,Grade 10,Grade 11,Grade 12",/lists/7p3xx6xs/house-of-the-scorpion,302
"The Ear, the Eye and the Arm",,"In the year 2194, three daring children are on the run in Zimbabwe—but three detectives are hot on their trail.",https://cdn.vocabulary.com/units/7pbjhwvv/cover.jpeg?width=220&v=16c24db8381,https://www.amazon.com/dp/054535661X?tag=vocabulary01-20,Nancy Farmer,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7pbjhwvv/ear-the-eye-and-the-arm,303
A Portrait of the Artist as a Young Man,,"In this modernist classic, Stephen Dedalus develops into an artist and challenges the traditional Irish values with which he grew up. Read the full text here.",https://cdn.vocabulary.com/units/7ptemks5/cover.jpeg?width=220&v=16c24ae8a46,https://www.amazon.com/dp/0142437344?tag=vocabulary01-20,James Joyce,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7ptemks5/portrait-of-the-artist-as-a-young-man,304
Ripped from the Headlines: April 2021,Our Weekly Roundups of Current Events Vocabulary,"Each week, we peruse the news to give you a word’s-eye view of what’s happening in the world. Here are some of our favorite examples from current events and culture stories. Whether you’re a news nerd, a word nerd, or you just like learning, these lists are a fun way to wrap up your week.",https://cdn.vocabulary.com/units/7ptxkr7y/feature.png?width=500&v=17fe0b54c0d,,,Events,/lists/7ptxkr7y/ripped-from-the-headlines-april-2021,305
Language of the Test,"Learn to Speak ""SAT""","Language of the Test words are academic vocabulary terms that frequently appear in SAT ""test talk."" They are not the words that may appear in the reading passages; they are the words that show up everywhere else. In fact, we just used a Language of the Test word in the previous sentence. Find it? If you guessed passage, you're right. You can't do well on the SAT if you don't fully understand the academic language being used in the test directions, in the questions, and in the answer options.",https://cdn.vocabulary.com/units/7q3fdlxa/feature.png?width=500&v=17a3e375044,,,"Grade 11,Grade 12,Test-Prep",/lists/7q3fdlxa/language-of-the-test,306
Dragon Hoops,,"In this nonfiction narrative, told in graphic form, Gene Luen Yang follows the Bishop O'Dowd High School basketball team during one eventful season and reflects on his own work as a storyteller.",https://cdn.vocabulary.com/units/7qq34f5t/cover.jpeg?width=220&v=173e97ec5bc,https://www.amazon.com/dp/1626720797?tag=vocabulary01-20,Gene Luen Yang,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/7qq34f5t/dragon-hoops,307
The Science of Breakable Things,,A seventh-grader's interest in science helps her come to terms with her mother's depression.,https://cdn.vocabulary.com/units/7qzk67tr/cover.jpg?width=220&v=17c7f6e7ce4,https://www.amazon.com/dp/1524715697?tag=vocabulary01-20,Tae Keller,"Grade 7,Literature",/lists/7qzk67tr/science-of-breakable-things,308
Brain on Fire,My Month of Madness,"In this memoir, journalist Susannah Cahalan recounts her battle with a mysterious and terrifying neurological illness at the age of 24.",https://cdn.vocabulary.com/units/7rgeuo4a/cover.jpeg?width=220&v=1717e9a3009,https://www.amazon.com/dp/1451621388?tag=vocabulary01-20,Susannah Cahalan,Non-Fiction,/lists/7rgeuo4a/brain-on-fire,309
Silent to the Bone,,Connor's best friend Branwell hasn't said a word since he was accused of seriously injuring his younger sister. Connor is determined to find out what really happened so that Branwell can clear his name.,https://cdn.vocabulary.com/units/7sdgtavn/cover.jpeg?width=220&v=16c256c7165,https://www.amazon.com/dp/0689836023?tag=vocabulary01-20,E.L. Konigsburg,Literature,/lists/7sdgtavn/silent-to-the-bone,310
Ripped from the Headlines: June 2020,Our Weekly Roundups of Words Used in the News,"Each week, we peruse the news to give you a word’s-eye view of what’s happening in the world. Here are some of our favorite examples from current events and culture stories. Whether you’re a news nerd, a word nerd, or you just like learning, these lists are a fun way to wrap up your week.",https://cdn.vocabulary.com/units/7shuvmtt/feature.png?width=500&v=172f0bea62a,,,Events,/lists/7shuvmtt/ripped-from-the-headlines-june-2020,311
Fourth Grade Rats,,"In this sequel to Third Grade Angels, Suds Morton tries to take his first steps to becoming a man by acting tough and mean.",https://cdn.vocabulary.com/units/7sj5qtfh/cover.png?width=220&v=187fd026e4d,https://www.amazon.com/dp/0545464789?tag=vocabulary01-20,Jerry Spinelli,Grade 5,/lists/7sj5qtfh/fourth-grade-rats,312
I'll Give You the Sun,,"Jude and Noah are talented, artistic, impassioned teenagers—and fraternal twins. In this novel, they take turns telling the story of how their family falls apart—and comes together again.",https://cdn.vocabulary.com/units/7so6ovxl/cover.jpeg?width=220&v=16d4531fa42,https://www.amazon.com/dp/0803734964?tag=vocabulary01-20,Jandy Nelson,"Grade 8,Grade 10,Literature",/lists/7so6ovxl/ill-give-you-the-sun,313
Booked,,Kwame Alexander scores again with this story about the soccer-playing son of a linguistics professor. This list of words can assist your goal of improving your vocabulary.,https://cdn.vocabulary.com/units/7sw2kcie/cover.jpg?width=220&v=16d1d004fd3,https://www.amazon.com/dp/1328596303?tag=vocabulary01-20,Kwame Alexander,"Grade 7,Non-Fiction",/lists/7sw2kcie/booked,314
Genuine Fraud,,"This suspenseful novel, told in reverse chronological order, follows Jule West Williams, a scrappy and resourceful orphan who develops an intense friendship with Imogen, a privileged heiress.",https://cdn.vocabulary.com/units/7ueb7jgi/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/B01N20COV4?tag=vocabulary01-20,E. Lockhart,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7ueb7jgi/genuine-fraud,315
The Henna Wars,,"Set in Dublin, Ireland, Nishat and her childhood friend Flávia contend one another in a high school contest to create the best henna business.",https://cdn.vocabulary.com/units/7ulx54jq/cover.jpeg?width=220&v=18018b4b152,https://www.amazon.com/dp/1624149685?tag=vocabulary01-20,Adiba Jaigirdar,Literature,/lists/7ulx54jq/henna-wars,316
A Room with a View,,"In the early 20th century, a young Englishwoman travels through Italy. Read the full text here.",https://cdn.vocabulary.com/units/7w5hlk3w/cover.jpeg?width=220&v=17865ab48b6,https://www.amazon.com/dp/0553213237?tag=vocabulary01-20,E.M. Forster,Grade 11,/lists/7w5hlk3w/room-with-a-view,317
The Weight of Our Sky,,Sixteen-year-old Melati must brave a riot and grapple with her obsessive-compulsive disorder as she attempts to reunite with her mother in 1969 Malaysia.,https://cdn.vocabulary.com/units/7wf3zxgn/cover.jpeg?width=220&v=173eed0b00d,https://www.amazon.com/dp/1534426086?tag=vocabulary01-20,Hanna Alkaf,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7wf3zxgn/weight-of-our-sky,318
When We Were Infinite,,"Beth, Sunny, Grace, and Brandon make a vow to protect their friend Jason, but tensions strain their relationships with one another.",https://cdn.vocabulary.com/units/7wqtf5bc/cover.jpeg?width=220&v=17dbab0dd7a,https://www.amazon.com/dp/1534468218?tag=vocabulary01-20,Kelly Loy Gilbert,Literature,/lists/7wqtf5bc/when-we-were-infinite,319
One May At A Time: An Efflorescence of Vocabulary,Explore These Lists From the May Calendar,"Put some spring in your lingo with this freshly picked collection of lists from the May calendar. This month boasts some wonderfully vocab-rich occasions, from Mother’s Day to Cinco de Mayo to every Star Wars fan’s favorite holiday — May the 4th. There’s even Pack Rat Day, so if you’re a collector of words you’ll have plenty to add to your lexicon.",https://cdn.vocabulary.com/units/7ws6jtnx/feature.png?width=500&v=18f7271df56,,,Just for Fun,/lists/7ws6jtnx/one-may-at-a-time-an-efflorescence-of-vocabulary,320
A World of Color,,"When it comes to assembling a collection of vocabulary color words, why settle for bland names when you can infuse it with a burst of creativity? These fun names for your colorful lexicon not only add an element of playfulness but also make the process of learning and exploring the nuances of colors all the more enjoyable.",https://cdn.vocabulary.com/units/7wya6pjg/feature.png?width=500&v=193089cf688,,,Just for Fun,/lists/7wya6pjg/world-of-color,321
When My Name Was Keoko,,"This historical novel follows Sun-hee and her brother Tae-yul as their family grapples with political change, prejudice, and war during the Japanese occupation of Korea.",https://cdn.vocabulary.com/units/7xdho7ed/cover.jpg?width=220&v=171a8c835ea,https://www.amazon.com/dp/0547722397?tag=vocabulary01-20,Linda Sue Park,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7xdho7ed/when-my-name-was-keoko,322
Code Name Verity,,"Set during World War II, this historical novel tells the story of Julie, a British spy, and Maddie, a pilot. When the friends' plane goes down, Julie must fight to survive in Nazi-occupied France.",https://cdn.vocabulary.com/units/7xkd3hqp/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/1423152883?tag=vocabulary01-20,Elizabeth Wein,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7xkd3hqp/code-name-verity,323
The Prince and the Dressmaker,,An inventive seamstress befriends a prince with an eye for unconventional fashion.,https://cdn.vocabulary.com/units/7xut4cpa/cover.jpeg?width=220&v=16c25637d83,https://www.amazon.com/dp/162672363X?tag=vocabulary01-20,Jen Wang,Literature,/lists/7xut4cpa/prince-and-the-dressmaker,324
Little Women,,"Meg, Jo, Beth, and Amy March are sisters whose personalities couldn't be more different. They share joy and heartbreak growing up in the shadow of the Civil War. Read the full text here.",https://cdn.vocabulary.com/units/7ytguelt/cover.jpeg?width=220&v=188f8113dd8,https://www.amazon.com/dp/0147514010?tag=vocabulary01-20,Louisa May Alcott,"Grade 8,Grade 9,Literature",/lists/7ytguelt/little-women,325
Arcadia,,"Set in a British country house, this award-winning play shifts between the early 19th century and the late 20th century and explores science, truth, and the relationship of past and present.",https://cdn.vocabulary.com/units/7ytqvhwe/cover.jpg?width=220&v=1826f7d91f7,https://www.amazon.com/dp/0571169341?tag=vocabulary01-20,Tom Stoppard,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/7ytqvhwe/arcadia,326
Ophelia,,Lisa Klein's adaptation of Shakespeare's Hamlet reimagines the famous tragedy from Ophelia's perspective.,https://cdn.vocabulary.com/units/7zjspknh/cover.jpeg?width=220&v=16c2954cbab,https://www.amazon.com/dp/1582348014?tag=vocabulary01-20,Lisa Klein,Literature,/lists/7zjspknh/ophelia,327
Watch Us Rise,,"Told in alternating perspectives, this novel follows the ups and downs of Jasmine and Chelsea, two girls who start a club to give young women at their school a voice.",https://cdn.vocabulary.com/units/7zrb664v/cover.jpeg?width=220&v=16c25698760,https://www.amazon.com/dp/154760008X?tag=vocabulary01-20,Renée Watson,Literature,/lists/7zrb664v/watch-us-rise,328
Ripped from the Headlines: May 2021,Our Weekly Roundups of Current Events Vocabulary,"Each week, we peruse the news to give you a word’s-eye view of what’s happening in the world. Here are some of our favorite examples from current events and culture stories. Whether you’re a news nerd, a word nerd, or you just like learning, these lists are a fun way to wrap up your week.",https://cdn.vocabulary.com/units/a3urfm34/feature.png?width=500&v=1808f5198d2,,,Events,/lists/a3urfm34/ripped-from-the-headlines-may-2021,329
The Invisible Man,,"In this science fiction novel published in 1897, a brilliant scientist discovers a way to make himself invisible and is corrupted by his newfound powers.",https://cdn.vocabulary.com/units/a5xqnzrk/cover.jpeg?width=220&v=16ec89ac3b6,https://www.amazon.com/dp/0553213539?tag=vocabulary01-20,H.G. Wells,Just for Fun,/lists/a5xqnzrk/invisible-man,330
Shipwrecked!,Diving for Hidden Time Capsules on the Ocean Floor,The award-winning historian traces how marine archaeology has been developing since 1900 to explore ships on the ocean floor and recover clues for understanding ancient civilizations.,https://cdn.vocabulary.com/units/a65heybj/cover.png?width=220&v=1905057a4e5,https://www.amazon.com/dp/1662602049?tag=vocabulary01-20,Martin W. Sandler,"Literature,Non-Fiction",/lists/a65heybj/shipwrecked,331
The GRE Verbal Reasoning Test: Challenge Words,,"Our collection of challenge words features some of the hardest words you will encounter in the Verbal Reasoning section of the GRE. These are words that typically appear less frequently across different academic disciplines, so you are less likely to have encountered them before. Master these challenging words and watch your GRE score soar!",https://cdn.vocabulary.com/units/a67okyii/feature.png?width=500&v=185c5ed9502,,,Test-Prep,/lists/a67okyii/gre-verbal-reasoning-test-challenge-words,332
Becoming,,"In this best-selling memoir, the former First Lady chronicles her early life and her time in the White House.",https://cdn.vocabulary.com/units/aad5dvmy/cover.jpeg?width=220&v=16c24fc2425,https://www.amazon.com/dp/1524763136?tag=vocabulary01-20,Michelle Obama,"Literature,Non-Fiction",/lists/aad5dvmy/becoming,333
The Color of Water,A Black Man's Tribute to His White Mother,The author pairs his stories of growing up in New York and Delaware as the eighth of twelve children who identified primarily as Black Christians with the memories of his white Jewish mother.,https://cdn.vocabulary.com/units/aah4dzkz/cover.jpeg?width=220&v=1894ab1c74c,https://www.amazon.com/dp/159448192X?tag=vocabulary01-20,James McBride,Non-Fiction,/lists/aah4dzkz/color-of-water,334
Nowhere Boy,,A fourteen-year-old Syrian refugee and a lonely thirteen-year-old American boy strike up a friendship when they unexpectedly meet in Belgium.,https://cdn.vocabulary.com/units/aalcaqtf/cover.jpeg?width=220&v=171e695da66,https://www.amazon.com/dp/1250307570?tag=vocabulary01-20,Katherine Marsh,Literature,/lists/aalcaqtf/nowhere-boy,335
150 Words Every 8th Grader Should Know How to Spell,,Vocabulary.com has compiled this collection of spelling words for students in 8th grade. Use the Spelling Bee with these lists to watch your spelling skills soar.,https://cdn.vocabulary.com/units/aatcm3bc/feature.png?width=500&v=18a47de19f2,,,Grade 8,/lists/aatcm3bc/words-every-8th-grader-should-know-how-to-spell,336
Twelve Years a Slave,,"Adapted into an Oscar-winning film, this memoir tells the story of a free black man who was kidnapped and sold into slavery in the nineteenth century. Read the full text here.",https://cdn.vocabulary.com/units/aayxwoyr/cover.jpeg?width=220&v=16df3b6de39,https://www.amazon.com/dp/B011MCYAXW?tag=vocabulary01-20,Solomon Northup,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/aayxwoyr/12-years-a-slave,337
Fast Food Nation,The Dark Side Of The All-American Meal,"In this exposé, award-winning journalist Eric Schlosser explores the effects of the American fast food industry on global health, labor conditions, and the environment.",https://cdn.vocabulary.com/units/abep4k5q/cover.jpg?width=220&v=181f340b95c,https://www.amazon.com/dp/0547750331?tag=vocabulary01-20,Eric Schlosser,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/abep4k5q/fast-food-nation,338
Frankly in Love,,"Frank Li knows that his conservative Korean parents will not approve of the girl he is dating, so he and friend Joy Song agree to enter into a fake relationship to appease their families.",https://cdn.vocabulary.com/units/abt4znvw/cover.jpeg?width=220&v=177bacd4971,https://www.amazon.com/dp/198481222X?tag=vocabulary01-20,David Yoon,Literature,/lists/abt4znvw/frankly-in-love,339
A Wrinkle in Time,,Madeleine L'Engle's classic novel details the adventures of the precocious Murry children as they travel across space and time to track down their missing father.,https://cdn.vocabulary.com/units/acfgpvmv/cover.jpeg?width=220&v=16c3008bb06,https://www.amazon.com/dp/0374386137?tag=vocabulary01-20,Madeleine L'Engle,"Grade 5,Grade 6,Grade 7,Grade 8",/lists/acfgpvmv/wrinkle-in-time,340
The Girls I've Been,,A seventeen-year-old girl must use all the skills she has learned as the daughter of a con artist in order to survive being held hostage by two men trying to rob the bank of a small town in California.,https://cdn.vocabulary.com/units/admnfjvf/cover.png?width=220&v=18d6b1e10b4,https://www.amazon.com/dp/059335382X?tag=vocabulary01-20,Tess Sharpe,Literature,/lists/admnfjvf/girls-ive-been,341
125 Words Every 6th Grader Should Know,Vocabulary You Need to Succeed,"By analyzing student data and commonly taught texts, Vocabulary.com has compiled this collection of essential vocabulary for students in 6th grade. Master high-frequency, high-utility words that you'll encounter across the curriculum.",https://cdn.vocabulary.com/units/adtf2rj2/feature.png?width=500&v=17dc46006c7,,,Grade 6,/lists/adtf2rj2/125-words-every-6th-grader-should-know,342
You Call This Democracy?,How to Fix Our Government and Deliver Power to the People,This nonfiction book examines voting in the United States and identifies ways to make government more democratic and to make voting more accessible.,https://cdn.vocabulary.com/units/adwcvu4u/cover.jpeg?width=220&v=1781d7f0a5a,https://www.amazon.com/dp/0358387426?tag=vocabulary01-20,Elizabeth Rusch,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/adwcvu4u/you-call-this-democracy,343
Smile,,"When she was in sixth grade, cartoonist Raina Telgemeier severely damaged her teeth during an accidental fall. In this graphic memoir, Telgemeier chronicles her literal and figurative quest to reclaim her smile.",https://cdn.vocabulary.com/units/ae7srck7/cover.jpeg?width=220&v=16d2c805cb3,https://www.amazon.com/dp/0545132061?tag=vocabulary01-20,Raina Telgemeier,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/ae7srck7/smile,344
Middle School Geometry,,"If you feel obtuse when it comes to angles, review this collection of geometry terms. You'll learn about planes, polygons, perimeter, and more. It's as easy as pi!",https://cdn.vocabulary.com/units/affczwxn/feature.png?width=500&v=1825ee5bd49,,,"Grade 6,Grade 7,Grade 8",/lists/affczwxn/middle-school-geometry,345
Hole in My Life,,"In a high school surrounded by a twelve-foot fence, Jack Gantos imagined what life behind bars would be like; after graduating, he landed in prison, where he dedicated himself to becoming a writer.",https://cdn.vocabulary.com/units/agqkkfyi/cover.jpeg?width=220&v=16c300b622f,https://www.amazon.com/dp/0312641575?tag=vocabulary01-20,Jack Gantos,Non-Fiction,/lists/agqkkfyi/hole-in-my-life,346
The World Is Flat,,New York Times columnist Thomas Friedman explores the complexities of globalization in the twenty-first century.,https://cdn.vocabulary.com/units/ah3kpzte/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/0312425074?tag=vocabulary01-20,Thomas Friedman,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/ah3kpzte/world-is-flat,347
My Brother Sam is Dead,,"In this historical novel set during the American Revolution, Tim Meeker must decide whether he should do as his father says and remain loyal to the British king or join his brother among the rebels.",https://cdn.vocabulary.com/units/ahabhy4y/cover.jpeg?width=220&v=16c248cf4a7,https://www.amazon.com/dp/0439783607?tag=vocabulary01-20,James Lincoln Collier,"Grade 6,Grade 7,Grade 8,Literature",/lists/ahabhy4y/my-brother-sam-is-dead,348
