word,part_of_speech,meaning,example,example_meaning,definition,ID,pronunciation
dexterous,adjective,khéo,Michael would have to choose between dexterity or warmth.,Michael sẽ phải chọn giữa sự khéo léo hay ấm áp.,Skillful with one's hands.,4082,/ˈdɛkstərəs/
tactile,adjective,hiển nhiên,"It's believable, it's tactile .","Nó đáng tin, nó hiển nhiên .",tangible; perceptible to the sense of touch,4083,/ˈtæktaɪl/
pulmonary,adjective,bị bệnh phổi,It could be pulmonary fibrosis.,Có thể là chứng xơ hoá phổi .,"Pertaining to, having, or affecting the lungs.",4084,/ˈpʌlmənɛri/
entrails,noun,lòng,What do the entrails say?,Bộ đồ lòng nói gì?,(archaic) Plural form of entrail.,4085,/ˈɛntrəlz/
physiological,adjective,thuộc sinh lý,Physiology and biomechanics.,Sinh lý học và giải phẫu.,"Of, or relating to physiology.",4086,/fɪziəˈlɒdʒɪkəl/
transitory,adjective,nhất thời,"While the friends of the rich person are many, they are as transitory as his wealth.","Dù người giàu có nhiều bạn, nhưng bạn bè ấy chỉ nhất thời như của cải của người vậy.",lasting only a short time; temporary,4087,/ˈtrænzəˌtɔri/
auditory,adjective,auditorium,Auditory .,Bật âm thanh .,"Of, or relating to hearing, or to the sense or organs of hearing",4088,/ˈɔdɪtɔri/
noisome,adjective,hôi thối,The air is noisome here.,ở đây ồn quá .,Morally hurtful or noxious.,4089,/ˈnɔɪsəm/
fecundity,noun,sự màu mỡ,"It's quiet, isolated, fecund .","Nơi đó yên tĩnh, cách biệt .",the ability to produce offspring,4090,/fəˈkʌndɪti/
spate,noun,nhiều,"The week of release was also accompanied by a spate of television appearances on many American daytime and late-night talk shows, such as the Today Show on 18 February, Late Show with David Letterman on 21 February, and The Ellen DeGeneres Show and Jimmy Kimmel Live! on 24 February.","Tuần phát hành tại Hoa Kỳ đi cùng một chuỗi lên sóng trong nhiều chương trình trò chuyện ban ngày cũng như ban đêm ở Mỹ, ví dụ như Today Show ngày 18 tháng hai, Late Show with David Letterman ngày 21 tháng hai, cùng The Ellen DeGeneres Show và Jimmy Kimmel Live! ngày 24 tháng hai.",A river flood; an overflow or inundation.,4091,/speɪt/
philosophical,adjective,bình thảnh,"Oh, philosophical conundrum.",Câu hỏi triết lý hóc búa đây,"Of, or pertaining to, philosophy.",4092,/fɪləˈsɒfɪkəl/
vestige,noun,dấu vết,Go forward in the fight until every vestige of Babylon lies desolate.,Hãy tiến lên chiến đấu cho đến khi mọi dấu vết của Ba-by-lôn không còn nữa.,The mark of the foot left on the earth; a track or footstep; a trace; a sign;,4093,/ˈvɛstɪdʒ/
plausible,adjective,có vẻ đúng,"13 We must keep up our guard, for the thinking and attitudes of Satan’s world may seem plausible on the surface.","13 Chúng ta phải cảnh giác, vì đôi khi lối suy nghĩ và thái độ của thế gian theo Sa-tan bề ngoài có vẻ đúng .","Seemingly or apparently valid, likely, or acceptable; credible: a plausible excuse.",4094,/ˈplɔzɪbəl/
scintillating,adjective,lấp lánh,"and they were filled with these scintillating crystals,","chứa đầy những tinh thể lấp lánh như thế này,",that scintillates with brief flashes of light,4096,/ˈsɪntɪleɪtɪŋ/
vile,adjective,hèn hạ,You're a vile little man.,Ngươi là một tên bé nhỏ hèn hạ .,morally low; base; despicable,4097,/vaɪl/
magnanimous,adjective,hào hiệp,"Katya reportedly bore her husband's infidelity ""with a mixture of magnanimity , bitterness, and compassion"".","Katya đã nói về sự không chung thủy của chồng mình là ""một sự pha trộn của hào hiệp , cay đắng và thương hại"".",Noble and generous in spirit.,4098,/mægˈnɒnɪməs/
tract,verb,dải,"In 20 minutes, you're marrying a girl whose father owns the biggest tracts of open land in Britain.","Nghe đây, trong 20 phút nữa, con sẽ cưới một cô gái mà cha cổ sở hữu những dải đất rộng rãi nhất nước Anh.",An area or expanse of land.,4099,/trækt/
aural,adjective,qua tai,I've been having aural hallucinations.,Tôi hay bị ảo giác về thính giác.,Of or pertaining to the ear.,4100,/ˈɔrəl/
upshot,noun,kết cục,"So, what was the upshot ?",Vậy kết cục ra sao?,(US) A concise summary.,4101,/ˌʌpˈʃɑt/
inept,adjective,dớ dẩn,First we need to get past that one inept guard.,Đầu tiên chúng ta cần vượt qua một tên bảo vệ.,Not able to do something; not proficient; displaying incompetence,4102,/ɪnˈɛpt/
timbre,noun,âm sắc,Varèse's music emphasizes timbre and rhythm.,Âm nhạc của Varèse nhấn mạnh âm sắc và nhịp điệu.,The quality of a sound independent of its pitch and volume.,4104,/ˈtɑmbə/
warp,verb,cong,There didn't seem to be anything else to warp or curve.,Có vẻ như chẳng còn thứ gì có thế gấp khúc hoặc uốn cong nữa.,(uncountable) The state of being bent or twisted out of shape.,4105,/wɔp/
brash,adjective,hỗn láo,"Brash , yet brave.","Hỗn xược , nhưng dũng cảm.",Leaf litter of small leaves and little twigs as found under a hedge.,4107,/bræʃ/
synapse,verb,khớp thần kinh,These cells have nerve endings called synapses .,Chúng có đầu gọi là khớp thần kinh .,"(neuroanatomy, cytology) The junction between the terminal of a neuron and either another neuron or a muscle or gland cell, over which nerve impulses pass.",4110,/ˌsɪnˈæps/
derelict,adjective,bị bỏ rơi,Perhaps the derelict should be given one more chance.,Có lẽ nên cho người bị bỏ rơi này thêm một cơ hội nữa.,"Abandoned, forsaken; (of ship) abandoned at sea; dilapidated, neglected.",4111,/ˈdɛrəlɪkt/
extrovert,adjective,hướng ngoại,Extroverted women?,Phụ nữ hướng ngoại ?,One who is outgoing; sociable or concerned with outer affairs.,4112,/ˈɛkstrəvət/
superimpose,verb,chồng lên,Her voice is superimposed on images that she filmed herself using hidden cameras.,Giọng nói của cô ta được chồng lên các hình ảnh cô ấy tự mình quay bằng camera giấu kín.,"To place an object over another object, usually in such a way that both will be visible.",4113,/supərɪmˈpʌʊz/
pundit,noun,chuyên gia bình luận,"On July 27, 2018, Facebook suspended the official page of pundit and political commentator Alex Jones for 30 days.","Vào ngày 27 tháng 7 năm 2018, Facebook đã tạm ngưng trang chính thức của chuyên gia bình luận và nhà bình luận chính trị Alex Jones trong 30 ngày.","A learned Hindu, a scholar, especially having knowledge of Sanskrit, philosophy, religion and law.",4114,/ˈpʌndɪt/
assimilate,verb,đồng hoá,And his story was hushed as he assimilated .,Và câu chuyện của ông đi vào im lặng khi ông bị đồng hoá .,To incorporate nutrients into the body after digestion.,4115,/æˈsɪmɪleɪt/
majesty,noun,vẻ oai nghiêm,"Words cannot describe His greatness and glory, His majesty and magnificence.","Lời nói không thể mô tả được sự cao trọng và vinh quang của Ngài, vẻ oai nghiêm và phi thường của Ngài.",The quality of being impressive and great,4116,/ˈmædʒɪsti/
stratosphere,noun,tầng bình lưu,"But the question I asked is, is it possible to linger in the stratosphere ?",Nhưng câu hỏi của tôi là liệu có thể dừng tại tầng bình lưu lâu hơn được không?,"(geology, obsolete) Collectively, those layers of the Earth’s crust which primarily comprise stratified deposits.",4118,/ˌstrædəˈsfɪər/
illusory,adjective,hão huyền,Unfortunately I believe it to be illusory . . . .,Rất tiếc tôi tin đó là chuyện hão huyền ...,"Resulting from an illusion; deceptive, imaginary, unreal",4119,/ɪˈlusəri/
proposition,noun,kế hoạch,Proposition 39 also contains instructions on how the extra tax revenue —approximately $1 billion each year—will be spent.,Dự luật 39 cũng bao gồm kế hoạch sử dụng số tiền gia tăng từ thu thuế - khoảng 1 tỷ $ mỗi năm.,(uncountable) The act of offering (an idea) for consideration.,4120,/prɒpəˈzɪʃən/
baroque,adjective,kỳ dị,"That reminds him of the word baroque , barrack, bark, poodle,","Và điều đó gợi lại cho anh những từ "" kỳ dị , trại lính, tiếng sủa, vũng nước,","ornate, intricate, decorated, laden with detail.",4121,/bəˈrɒk/
poise,noun,dáng,"Your poise , or lack of it, is shown by your physical bearing and the way that you use your hands.",Dáng điệu của bạn và cách bạn dùng tay cho thấy bạn có điềm tĩnh hay không.,"(obsolete) Weight; an amount of weight, the amount something weighs.",4122,/pɔɪz/
chador,noun,chàng mạng,"Traditional Arab dress features the full length body cover (abaya, jilbāb, or chador ) and veil (hijab).","Trang phục Ả Rập truyền thống có đặc trưng che phủ toàn bộ chiều dài cơ thể (abaya, jilbāb, hoặc chador) và khăn trùm đầu (hijab).","A loose robe, made from a single cloth, worn as a combination head covering, veil and shawl by Muslim women, especially in Iran.",4123,/ˌtʃɑˈdɔər/
melodrama,noun,kịch mêlô,Cheap melodrama .,Một vở kịch rẻ tiền.,(uncountable) A kind of drama having a musical accompaniment to intensify the effect of certain scenes (archaic).,4124,/ˈmɛləʊdrɒmə/
couture,noun,thuộc ngữ,"Yeah, it's couture .",nó là thời trang cao cấp .,"(fashion) The production of high-end, custom-made clothing",4126,/kuˈtʊə/
jaundice,verb,hoàng đản,And I was pitying you having jaundice .,- Tôi thương hại ông mắc phải chứng hoàng đản .,"(pathology) A morbid condition, characterized by yellowness of the eyes, skin, and urine, whiteness of the feces, constipation, queasiness, loss of appetite, and general languor and lassitude. It is caused usually by obstruction of the biliary passages and consequent damming up, in the liver, of the bile, which is then absorbed into the blood. Other causes include increased hemolysis and any liver disease. The discoloration is caused by accumulation of bilirubin in the body; bilirubin is normally excreted in bile to give feces their normal yellow-brown coloration.",4127,/ˈdʒɒndɪs/
homily,noun,bài thuyết pháp,"And Homily , take nothing from the doll house.","Homily , đừng lấy gì từ ngôi nhà búp bê nhé.","A sermon, especially concerning a practical matter.",4128,/ˈhɒməli/
metronome,noun,máy nhịp,( Clicks metronome ),( Đếm nhịp ),"(music) a device, containing an inverted pendulum, used to mark time by means of regular ticks at adjustable intervals; an electronic equivalent that emits flashes",4129,/ˈmɛtrənəʊm/
poignant,adjective,cay,"I was overwhelmed by a sorrow so poignant , when she finally died I felt in all candour a great release.","Tôi đã bị chôn vùi bởi nổi đau chua cay , khi cô ấy mất, tôi vô tư nghĩ là cuối cùng cũng được giải thoát.","(obsolete, of a weapon etc) sharp-pointed; keen.",4130,/ˈpɔɪnjɪnt/
ruefully,adverb,buồn rầu,Mason stood somewhat ruefully to one side until the photographers had secured their close-up pictures.,Mason đứng cạnh đó với vẻ mặt thảm thương cho tới khi các phóng viên nhiếp ảnh chụp xong những cận ảnh.,"In a rueful manner; causing, feeling, or expressing regret or sorrow.",4131,/ˈrufəli/
impish,adjective,tinh quái,There's the habilis - impish scavengers.,Loài habilis - chuyên ăn xác chết,mischievous; of or befitting an imp.,4132,/ˈɪmpɪʃ/
aperture,noun,lỗ hổng,"Captain, photic sonar readings indicate the aperture is closing.","Thuyền trưởng, thiết bị sonar ánh sáng cho thấy lỗ hổng đang đóng lại.","An opening; an open space; a gap, cleft, or chasm; a passage perforated; a hole; as, an aperture in a wall.",4133,/ˈæpətʃə/
proxy,adjective,do uỷ nhiệm,Youth can participate in proxy baptisms.,Các thiếu niên và thiếu nữ có thể tham gia phép báp têm thay cho người chết.,Used as a proxy or acting as a proxy.,4135,/ˈprɒksi/
quintessential,adjective,nguyên tố thứ năm,"Considered the quintessential tap dancer,","Được coi như tinh hoa của vũ công thiết hài,",Of the nature of a quintessence (in all senses); ultimate.,4136,/kwɪntɪˈsɛntʃəl/
indispensable,adjective,không thể thiếu được,And so each citizen plays an indispensable role.,Và như vậy mọi công dân đều có vai trò không thể thiếu được .,A thing that is not dispensable; a necessity. [from 17th c.],4137,/ɪndɪˈspɛnsəbəl/
appealing,adjective,quyến rũ,"It's not necessarily glamorous, but unveiling the glamour has an appeal .","Nó không nhất thiết quyến rũ , nhưng để lộ sức hút như 1 yêu cầu.",Having appeal; attractive.,4139,/əˈpilɪŋ/
incidentally,adverb,nhân tiện,"Including, incidentally , New Orleans.","Nhân tiện , có cả New Orleans.",(manner) In an incidental manner; not of central or critical importance.,4140,/ɪnsɪˈdɛntəli/
moralist,noun,người dạy luân lý,moralistic .,... có đạo đức nữa.,"(pejorative) One who drives all their decisions based on perceived morals, especially one who enforces them with censorship.",4141,/ˈmɔrələst/
militate,verb,chiến đấu,His militancy has caused the Alliance a great many problems.,Cách chiến đấu của ông ta gây ra nhiều vấn đề cho Liên minh.,To give force or effect toward; to influence.,4142,/ˌmɪləˈteɪt/
quiescent,adjective,im lìm,Only the northern boundary is relatively quiescent .,Chỉ có ranh giới phía bắc là tương đối yên tĩnh .,"Inactive, at rest, quiet.",4143,/kwaɪˈɛsənt/
unfettered,adjective,không bị cùm,"That life, unfettered , moves towards life.","Rằng cuộc sống, không gông cùm , sẽ hướng tới cuộc sống.",Simple past tense and past participle of unfetter.,4144,/ənˈfɛtərd/
anomalous,adjective,bất thường,The parietal lobe of Albert Einstein is truly anomalous .,Thùy đỉnh của Albert Einstein thực sự bất thường .,deviating from the normal; aberrant or abnormal,4145,/əˈnɑmələs/
rhetoric,noun,hùng biện,I am trying to move beyond political rhetoric to a place of ethical questioning.,Tôi đang cố vượt lên hùng biện chính trị thành điều tra đạo đức.,"The art of using language, especially public speaking, as a means to persuade.",4146,/ˈrɛtɔrɪk/
steward,verb,người quản lý,I have urgent news for the tetrarch's steward .,Tôi có tin khẩn cho người quản lý Tetrarch.,A person who manages the property or affairs for another entity.,4147,/ˈstuwəd/
pathogen,noun,Mầm bệnh,"Pathogens , viruses.","Mầm bệnh , vi-rút.","(pathology, immunology) Any organism or substance, especially a microorganism, capable of causing disease, such as bacteria, viruses, protozoa or fungi. Microorganisms are not considered to be pathogenic until they have reached a population size that is large enough to cause disease.",4148,/ˈpæθədʒɪn/
coffer,noun,rương,For centuries rich and poor alike have been filling the coffers of religious organizations in the hope of reducing the time they or their loved ones are in purgatory.,"Trải qua nhiều thế kỷ, người giàu cũng như nghèo đã bỏ tiền vào đầy rương của các tổ chức tôn giáo với hy vọng làm giảm bớt thời gian mà họ hoặc những người thân của họ ở trong nơi hành tội.",A strongbox: a strong chest or box used for keeping money or valuables safe.,4149,/ˈkɔfər/
serendipitous,adjective,ngẫu nhiên,"This is what they call "" serendipitous . """,Cái này người ta gọi là khả năng cầu may .,By serendipity; by unexpected good fortune.,4150,/ˌsɛrənˈdɪpɪtəs/
boon,noun,ơn,"And in her gratitude, she will see fit to grant us boons .","Và với lòng biết ơn của mình, bà ấy sẽ cho chúng ta một ân huệ.",A blessing or benefit.,4151,/bun/
inflexible,adjective,cứng,"Do I seek to lay down arbitrary, inflexible rules or to turn my personal opinions into law?","Tôi có đặt ra luật lệ tùy tiện, cứng nhắc hoặc biến quan điểm riêng của mình thành điều luật không?",Not flexible; not capable of bending or being bent; stiff; rigid; firm; unyielding.,4152,/ɪnˈflɛksɪbəl/
corrugated,adjective,có nếp,So this is a corrugated box and its shadow.,Đây là một hộp có nếp sóng và bóng của nó.,Simple past tense and past participle of corrugate.,4153,/ˌkɔrəˈgeɪdɪd/
fanatic,adjective,cuồng tín,Indeed my husband was simply a fanatical fisherman.,Thực sự thì chồng tôi đơn giản chỉ là một ngư dân cuồng tín .,Fanatical.,4154,/fəˈnætɪk/
scuff,adjective,scruff,Scuff marks back to the edge.,Dấu lê chân ở cuối mép.,"Caused by scraping, usually with one's feet.",4155,/skəf/
convoy,verb,hộ tống,"You're gonna go after those guys that hit my convoy , huh?",Các cậu sẽ đuổi theo bọn đã hạ đoàn hộ tống của tôi chứ hả?,(nautical) One or more merchant ships sailing in company to the same general destination under the protection of naval vessels,4156,/ˈkɒnvɔɪ/
esteem,verb,kính mến,Our esteemed professor will explain it.,Giáo sư kính mến đây sẽ giải thích nó.,To regard someone with respect,4157,/ɛsˈtim/
static,adjective,tĩnh,The codes applicable to European safety footwear are: There is also EN ISO 20346:2004 for protective footwear (must comply to basic safety requirements but toe cap impact resistance requirement is lower - 100 Joules) & EN ISO 20347:2004 for Occupational Footwear (must comply to basic safety requirements with anti static or slip resistant properties.,Các mã áp dụng cho giày dép an toàn Châu Âu là: Ngoài ra còn có EN ISO 20346: 2004 cho giày bảo hộ (phải tuân thủ các yêu cầu an toàn cơ bản nhưng yêu cầu chịu va đập trên đầu ngón chân là thấp hơn - 100 Joules) và EN ISO 20347: 2004 cho Giày dép bảo hộ (phải tuân theo yêu cầu an toàn với tính chất chống tĩnh hoặc chống trượt.,Unable to change.,4158,/ˈstæɾɪk/
grandstand,verb,khán đài,"He's coming up to the grandstand , fellow Federationists.","Anh ấy đang đi tới khán đài , anh Federistas.",The seating area at a stadium or arena; the bleachers.,4159,/ˈgrænstænd/
boastful,adjective,thích khoe khoang,Some may be prone to boast about their success in the Christian ministry.,Một số người có thể thích khoe khoang về sự thành công trong thánh chức của tín đồ đấng Christ.,Tending to boast or brag.,4160,/ˈbʌʊstfəl/
vise,noun,mỏ cặp,"Othen / vise , I don't exist.",Những lúc khác thì tôi như không tồn tại vậy.,"(US) An instrument consisting of two jaws, closing by a screw, lever, cam, or the like, for holding work, as in filing.",4161,/vaɪs/
shrapnel,noun,mảnh đạn,I've got a cluster of shrapnel trying every second to crawl its way into my heart.,"Tôi đã từng bị vô vàn mảnh đạn , cố gắng trườn từng chút một đến tim tôi.","a collective term for shot, fragments, or debris thrown out by an exploding shell or landmine",4162,/ˈʃræpnəl/
rustling,noun,soạt,A rustle at the front door told me Holly had arrived home from school .,Tiếng sột soạt trước cửa cho tôi biết Holly đã đi học về .,Present participle of rustle.,4163,/ˈrʌslɪŋ/
saboteur,noun,kẻ phá hoại,I'm close to finding our saboteur .,Tôi sắp tìm ra kẻ phá hoại rồi.,A person who intentionally causes the destruction of property in order to hinder the efforts of his/her enemy.,4164,/ˌˈsæbəˌˈtʌr/
hesitant,adjective,do dự,"You hesitate , and that hesitation could kill you.",Em do dự và sự do dự đó sẽ giết em.,"Tending to hesitate, wait, or proceed with caution or reservation.",4165,/ˈhɛzɪtɪnt/
canteen,noun,căng tin,"Lady, does this look like a canteen to you?","Quý cô, cái này trông giống căng tin của cô lắm à?","a small cafeteria or snack bar, especially one in a military establishment, school, or place of work",4166,/kænˈtin/
indebted,adjective,mang ơn,Why should we feel indebted to our parents?,Tại sao chúng ta phải cảm thấy mang ơn cha mẹ?,obligated to someone; owing a debt of gratitude to someone,4167,/ɪnˈdɛtɪd/
barricade,noun,chướng ngại,"Inside, they barricaded the office and tied the commandant to his chair.","Bên trong trụ sở, họ dựng chướng ngại vật và trói vị chỉ huy trên ghế.","An obstacle, barrier or bulwark.",4168,/ˈbærɪkeɪd/
riddle,noun,câu đố,What is the next of the riddle ?,Phần tiếp theo của câu đố là gì?,"A verbal puzzle, mystery, or other problem of an intellectual nature, such as ""It's black, and white, and red all over. What is it?""",4170,/ˈrɪdəl/
etch,verb,khắc axit,"They were etched by the Mount's founding priest, Isaac Fowler.","Chúng được khắc axit bởi linh mục cha đẻ của nơi này, Isaac Fowler.",To engrave a surface (especially of metal or glass) in order to produce a printing pattern.,4171,/ɛtʃ/
bangle,noun,vòng,"Madame, would you like some of those orange bangles","Thưa bà, bà có muốn những vòng đeo tay màu cam","A rigid bracelet or anklet, especially one with no clasp.",4172,/ˈbæŋgəl/
sequin,noun,Xêquin,Gold sequins .,Đính kim sa vàng .,(historical) Any of various small gold coins minted in Italy and Turkey.,4173,/ˈsikwɪn/
prosperous,adjective,phồn vinh,"The Wayne name is synonymous with growth, strength and prosperity .","Cái tên Wayne đồng nghĩa với tăng trưởng, lớn mạnh và phồn vinh .",characterized by success,4174,/ˈprɑspərəs/
headmaster,noun,hiệu trưởng,"Thank you, headmaster , for those kind words of welcome.","Cám ơn ông, thưa ông hiệu trưởng , vì những lời chào đón tử tế.",(Chiefly British.) A male school principal.,4175,/ˈhɛdmɑstə/
cricket,noun,con dế,They gave away my crickets .,Họ đã lấy đi những con dế của tôi.,A wooden footstool.,4176,/ˈkrɪkɪt/
composition,noun,thành phần,"This promise pertains regardless of family size, composition , or location.","Lời hứa này áp dụng bất kể kích thước, thành phần hoặc địa điểm của gia đình.",The combining of different parts to make a whole. [from 14th c.],4177,/kɒmpəˈzɪʃən/
garland,noun,vòng hoa,"If I were you, I'd take the garland off in a neighborhood like this...","Nếu tôi là anh, ở trong khu phố này tôi sẽ cất cái vòng hoa kia đi.","A wreath, especially one of plaited flowers or leaves, worn on the body or draped as a decoration",4178,/ˈgɑlənd/
ostracize,verb,tẩy chay,Both were ostracized socially for some time thereafter.,"Một thời gian sau đó, cả hai đứa này đã bị tẩy chay khỏi đám bạn của nó.","To exclude (a person) from society or from a community, by not communicating with them or by refusing to acknowledge their presence; to refuse to talk to or associate with; to shun.",4179,/ˈɒstrəsaɪz/
abacus,noun,bàn tính,I'm surprised I don't find an abacus in here.,Tôi ngạc nhiên khi không thấy cái bàn tính ở đây đấy.,"(obsolete) A table or tray strewn with sand, anciently used for drawing, calculating, etc.",4180,/ˈæbəkəs/
inject,verb,tiêm,"You inject that stuff into your body to control the Lickers, right?",Cách anh tiêm nó vào để kiềm Licker à?,"(transitive) To push or pump (something, especially fluids) into a cavity or passage.",4181,/ɪnˈdʒɛkt/
gash,verb,vết cắt,Whole hillsides bear deep gashes hundreds of meters wide.,Khắp sườn đồi loang lổ những vết cắt rộng hàng trăm mét.,A deep cut.,4182,/gæʃ/
vendor,verb,ngưởi bán hàng rong,I need to see your vendor permits.,Tôi cần xem giấy phép của ảnh.,A person or a company that vends or sells.,4184,/ˈvɛndə/
ripple,verb,gợn sóng lăn tăn,Better than rain or rippling brook,♪ Tốt hơn mưa hay dòng suối gợn sóng ♪,A moving disturbance or undulation in the surface of a liquid.,4185,/ˈrɪpəl/
quiver,verb,run,Miss Stephanie's nose quivered with curiosity.,Mũi cô Stephanie run lên vì tò mò.,"(weaponry) A container for arrows, crossbow bolts or darts, such as those fired from a bow, crossbow or blowgun.",4186,/ˈkwɪvə/
refugee,verb,người lánh nạn,Some refugees from the disaster soon headed toward those buildings.,Chẳng mấy chốc một số người lánh nạn đi về hướng những tòa nhà này.,"A person seeking refuge in a foreign country out of fear of political persecution or the prospect of such persecution in his home country, i.e., a person seeking a political asylum.",4187,/rɛfjuˈdʒi/
kerchief,verb,khăn tay,"And mamma in her kerchief , and I in my cap,","Mẹ trong khăn tay của cô, và Con ở trong mũ của tôi,",(old-fashioned) A piece of cloth used to cover the head.,4188,/ˈkʌtʃɪf/
fragile,adjective,mỏng manh,"As you know from the reading, DNA is a fragile molecule.","Như các em đã đọc sách, ADN là một phân tử mỏng manh .","easily broken or destroyed, and thus often of subtle or intricate structure",4189,/ˈfrædʒaɪl/
harsh,adjective,khắc nghiệt,But it seems so harsh .,Nhưng có vẻ hơi khắc nghiệt với cô ấy.,Unpleasantly rough to the touch or other senses.,4190,/hɑʃ/
tapestry,verb,tấm thảm,We have exquisite tapestries dating all the way back to...,Chúng tôi trải những tấm thảm tuyệt mĩ dọc con đường quay lại...,(by extension) anything with variegated or complex details,4191,/ˈtæpɪstri/
sari,noun,xari,I am shaking in my sari .,Tôi đang run rẩy trong sari của tôi.,"The traditional dress of women in the Indian Subcontinent; an outer garment consisting of a single length of cotton or silk, most often with one end wrapped around the waist to form a skirt, the other draped over the shoulder or head.",4192,/ˈsɑri/
jumpy,adjective,hay giật mình,"Certain everyday things, They make him jumpy or startled?","một số vật gì đó, làm cho anh ấy hoảng hốt hay giật mình ?",Nervous and excited.,4193,/ˈdʒʌmpi/
squat,verb,ngồi xổm,Someone has been slackin with the squat and cough.,Có ai đó chểnh mảng trong lúc bắt phạm nhân ngồi xổm và ho.,A position assumed by bending deeply at the knees while resting on one's feet.,4194,/skwɒt/
rumple,verb,làm nhàu,"This weapon, what does Rumple say of its power?",Rumple nói gì về sức mạnh của nó?,"To make wrinkled, particularly of fabric.",4195,/ˈrʌmpəl/
mutter,verb,càu nhàu,"“Not,” he muttered , “if one didn’t want to make any enemies.”",“Không” Anh càu nhàu . “nếu người đó không muốn tạo ra kẻ thù nào.”,A repressed or obscure utterance; an instance of muttering.,4196,/ˈmʌtə/
grave,noun,mồ,"What kind of man crawled into his own grave in search of hope, hm?",Loại người nào bò vào chính nấm mồ của mình để tìm kiếm hy vọng?,"A written accent used in French, Italian, and other languages. è is an e with a grave accent.",4197,/ɡɹeɪv/
grime,verb,bụi bẩn,"In the process, they remove layers of built-up grime and reverse previous crude restoration attempts.","Trong tiến trình thực hiện, họ tẩy đi những lớp bụi bẩn đóng lâu ngày và chỉnh lại những chỗ sửa không khéo trước kia.","Dirt, grease, soot, etc. that is ingrained and difficult to remove.",4198,/graɪm/
nestle,verb,náu mình,"In 1839 (June–August), Shamil and his followers, numbering about 4000 men, women and children, found themselves under siege in their mountain stronghold of Akhoulgo, nestled in the bend of the Andi Koysu, about ten miles east of Gimry.","Năm 1839 (tháng 6-tháng 8), Shamil và những người lính của mình, 4000 người, phụ nữ và trẻ em, bị bao vây trong pháo đài trên núi Akhoulgo, náu mình trong khúc quanh của Sông Andee Koisou, khoảng mười dặm phía đông Gimry.",To settle oneself comfortably and snugly.,4200,/ˈnɛsəl/
stutter,verb,nói lắp,There are some interesting angles to having a stutter .,Có vài điều thú vị khi mắc phải tật nói lắp .,(intransitive) To speak with a spasmodic repetition of vocal sounds.,4201,/ˈstʌtə/
upright,adjective,thẳng đứng,This word helps to show that stau·rosʹ was an upright stake without a crossbeam.,Chữ này giúp cho thấy stau.ros’ là một cây cọc thẳng đứng không có đà ngang.,Vertical; erect.,4202,/ˈʌpraɪt/
gazette,verb,báo hằng ngày,The Sunday Gazette,Báo Gazette Chủ Nhật,"A newspaper; a printed sheet published periodically; esp., the official journal published by the British government, and containing legal and state notices.",4204,/gəˈzɛt/
presumption,noun,sự cho là đúng,Presumption Receiving Stolen Property 410.,Tội bắt cóc nhằm chiếm đoạt tài sản Điều 170.,(dated) arrogant behaviour,4205,/prəˈzʌmpʃən/
systemic,adjective,toàn thân,Or systemic scleroderma.,Hoặc là xơ cứng bì toàn thân .,"Embedded within and spread throughout and affecting a group, system, body, economy, market, or society as a whole.",4206,/sɪsˈtɛmɪk/
consulate,noun,tòa lãnh sự,The consulate .,Không Tòa lãnh sự .,"In practice, an office of a government in a foreign city that oversees the distribution of visas and provides assistance to nationals.",4207,/ˈkɒnsələt/
persevere,verb,kiên trì,Why do we persevere in making repeated visits to people in their homes?,Tại sao chúng ta kiên trì trở lại thăm người ta nhiều lần tại nhà của họ?,"To persist steadfastly in pursuit of an undertaking, task, journey or mission in spite of distraction, difficulty, obstacles or discouragement.",4208,/pəsəˈvɪə/
establishment,noun,tổ chức,Institutions have always been the ones to establish the rules and propose changes.,Các qui chế luôn luôn đã được thiết lập và đề xuất thay đổi bởi những tổ chức .,The act of establishing; a ratifying or ordaining; settlement; confirmation.,4209,/ɛsˈtæblɪʃmɛnt/
authentic,adjective,đích thực,"They say, we Dutch, we like real, natural, authentic experiences.","Họ nói, người Hà Lan chúng tôi thích các trải nghiệm thật, tự nhiên, đích thực .",Of the same origin as claimed; genuine.,4210,/ɔˈθɛntɪk/
enrapture,verb,làm mê mẩn,"Animals appear and dance, enraptured , to his music.","Các con thú xuất hiện và nhảy múa, mê mẩn trong tiếng sáo của anh ta.",To fill with great delight or joy; to fascinate.,4211,/ɛnˈræptʃə/
ail,adjective,làm phiền não,She's ailing .,Cổ bị bệnh .,An ailment; trouble; illness.,4212,/eɪl/
decline,verb,từ chối,He declined to share that information with me.,Anh ta từ chối chia sẻ thông tin đó với tôi.,"(intransitive) To move downwards, to fall, to drop.",4213,/dɪˈklɑɪn/
theorem,noun,định lý,"It will then become a theorem , a truth, forever and ever.","Thì nó sẽ trở thành định lý , một sự thật, vĩnh viễn.",(mathematics) A mathematical statement of some importance that has been proven to be true. Minor theorems are often calledpropositions. Theorems which are not very interesting in themselves but are an essential part of a bigger theorem's proof are calledlemmas,4214,/ˈθirəm/
weather,noun,thời tiết,"According to the weather forecast, it'll snow tomorrow.","Theo dự báo thời tiết , mai sẽ có tuyết.","To expose to the weather, or show the effects of such exposure, or to withstand such effects.",4215,/ˈwɛðə/
